Table 1,,,,,,,,,,,,
Changes to census subdivisions by province and territory,,,,,,,,,,,,
Gaining CSDuid ,Gaining CSDname ,Gaining CSDtype ,Gaining Change Code ,Gaining Change Code Description,Losing CSDuid ,Losing CSDname ,Losing CSDtype ,Losing Change Code ,Losing Change Code Description,Census Population Affected,Effective Date,File Number
Newfoundland and Labrador,,,,,,,,,,,,
1103065,O'Leary,FD,1,Incorporation from amalgamation and partial annexation,1103049,Lot  5,LOT,4,Dissolution,416,01/01/2018,110076
1103065,O'Leary,FD,1,Incorporation from amalgamation and partial annexation,1103041,Lot  6,LOT,4,Dissolution,634,01/01/2018,110076
1103065,O'Leary,FD,1,Incorporation from amalgamation and partial annexation,1103046,Lot  8,LOT,6,Area lost due to incorporation,325,01/01/2018,110076
1102047,Pleasant Grove,RM,1,Incorporation from part,1102052,Lot 34,LOT,6,Area lost due to incorporation,488,01/01/2018,110024
1102047,Pleasant Grove,RM,1,Incorporation from part,1102054,Lot 35,LOT,6,Area lost due to incorporation,0,01/01/2018,110024
1103018,Sherbrooke,RM,3,Type change,...,Sherbrooke,COM,...,...,...,23/12/2017,110006
1101035,Souris,FD,1,Incorporation from amalgamation and partial annexation,1101029,Lot 56,LOT,6,Area lost due to incorporation,91,01/01/2018,110081
1101035,Souris,FD,1,Incorporation from amalgamation and partial annexation,1101031,Lot 43,LOT,6,Area lost due to incorporation,661,01/01/2018,110081
1101035,Souris,FD,1,Incorporation from amalgamation and partial annexation,1101041,Lot 42,LOT,6,Area lost due to incorporation,30,01/01/2018,110081
1101035,Souris,FD,1,Incorporation from amalgamation and partial annexation,1101032,Lot 44,LOT,4,Dissolution,411,01/01/2018,110081
1101035,Souris,FD,1,Incorporation from amalgamation and partial annexation,1101034,Lot 45,LOT,4,Dissolution,460,01/01/2018,110081
1101035,Souris,FD,1,Incorporation from amalgamation and partial annexation,1101038,Lot 46,LOT,4,Dissolution,123,01/01/2018,110081
1101033,Souris West,RM,1,Incorporation from part,1101032,Lot 44,LOT,6,Area lost due to incorporation,361,01/01/2018,110035
1103053,St. Felix,RM,1,Incorporation from part,1103058,Lot  1,LOT,6,Area lost due to incorporation,10,01/01/2018,110039
1103053,St. Felix,RM,1,Incorporation from part,1103056,Lot  2,LOT,6,Area lost due to incorporation,315,01/01/2018,110039
1103057,St. Louis,RM,3,Type change,...,St. Louis,COM,...,...,...,23/12/2017,110065
1103022,St. Nicholas,RM,1,Incorporation from part,1103026,Lot 15,LOT,6,Area lost due to incorporation,15,01/01/2018,110009
1103022,St. Nicholas,RM,1,Incorporation from part,1103028,Lot 16,LOT,6,Area lost due to incorporation,5,01/01/2018,110009
1103022,St. Nicholas,RM,1,Incorporation from part,1103019,Lot 17,LOT,6,Area lost due to incorporation,193,01/01/2018,110009
1101037,St. Peters,FD,1,Incorporation from amalgamation and partial annexation,1101046,Lot 40,LOT,6,Area lost due to incorporation,10,01/01/2018,110082
1101037,St. Peters,FD,1,Incorporation from amalgamation and partial annexation,1101042,Lot 41,LOT,4,Dissolution,401,01/01/2018,110082
1101037,St. Peters,FD,1,Incorporation from amalgamation and partial annexation,1101041,Lot 42,LOT,4,Dissolution,219,01/01/2018,110082
1101037,St. Peters,FD,1,Incorporation from amalgamation and partial annexation,1101031,Lot 43,LOT,4,Dissolution,31,01/01/2018,110082
1101037,St. Peters,FD,1,Incorporation from amalgamation and partial annexation,1101029,Lot 56,LOT,4,Dissolution,15,01/01/2018,110082
1101044,St. Peters Bay,RM,3,Type change,...,St. Peters Bay,COM,...,...,...,23/12/2017,110070
1102045,"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",RMU,23,Name and type change,...,Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust.,COM,...,...,...,23/12/2017,110063
1102080,Stratford,T,8C,Area gained due to boundary correction,1102012,Lot 49,LOT,9C,Area lost due to boundary correction,...,01/01/2018,110073
1102080,Stratford,T,8,Area and population gained due to correction,1102013,Alexandra,RM,9,Area and population lost due to correction,5,01/01/2018,110121
1103025,Summerside,CY,8,Area and population gained due to correction,1103023,Linkletter,RM,9,Area and population lost due to correction,10,02/01/2016,110005
1103025,Summerside,CY,8C,Area gained due to boundary correction,1103019,Lot 17,LOT,9C,Area lost due to boundary correction,...,02/01/2016,110007
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1102007,"Valleyfield, Part 2",RM,4,Dissolution,92,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101010,"Valleyfield, Part 1",RM,4,Dissolution,592,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101013,"Montague, Part 1",FD,4,Dissolution,1486,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101023,Georgetown,FD,4,Dissolution,285,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101015,Lorne Valley,RM,4,Dissolution,77,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101020,Cardigan,FD,6,Area lost due to incorporation,886,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101018,Montague,T,4,Dissolution,1961,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101021,Cardigan,RM,4,Dissolution,269,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101017,Brudenell,RM,4,Dissolution,360,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101024,Georgetown,T,4,Dissolution,555,28/09/2018,110125
1101045,Three Rivers,T,1,Incorporation from amalgamation and partial annexation,1101007,Lower Montague,RM,4,Dissolution,606,28/09/2018,110125
1103059,Tignish,T,3,Type change,...,Tignish,COM,...,...,...,01/04/2017,110001
1103061,Tignish,FD,1,Incorporation from part,1103054,Lot  3,LOT,6,Area lost due to incorporation,36,01/01/2018,110072
1103061,Tignish,FD,1,Incorporation from part,1103056,Lot  2,LOT,6,Area lost due to incorporation,329,01/01/2018,110072
1103061,Tignish,FD,1,Incorporation from part,1103058,Lot  1,LOT,6,Area lost due to incorporation,1447,01/01/2018,110072
1103059,Tignish,T,8,Area and population gained due to correction,1103061,Tignish,FD,9,Area and population lost due to correction,0,01/01/2018,110120
1103060,Tignish Shore,RM,1,Incorporation from part,1103056,Lot  2,LOT,6,Area lost due to incorporation,38,01/01/2018,110040
1103060,Tignish Shore,RM,1,Incorporation from part,1103058,Lot  1,LOT,6,Area lost due to incorporation,25,01/01/2018,110040
1103033,Tyne Valley,RM,3,Type change,...,Tyne Valley,COM,...,...,...,23/12/2017,110066
1103021,Tyne Valley,FD,1,Incorporation from amalgamation and partial annexation,1103032,Lot 13,LOT,4,Dissolution,424,01/01/2018,110078
1103021,Tyne Valley,FD,1,Incorporation from amalgamation and partial annexation,1103031,Lot 14,LOT,6,Area lost due to incorporation,199,01/01/2018,110078
1103021,Tyne Valley,FD,5A,Area gained due to complete annexation,1103034,Lot 12,LOT,4,Dissolution,0,01/01/2018,110117
1103021,Tyne Valley,FD,8,Area and population gained due to correction,1103035,Lennox Island 1,IRI,9,Area and population lost due to correction,0,02/01/2016,110128
1102050,Union Road,RM,3,Type change,...,Union Road,COM,...,...,...,23/12/2017,110067
1101010,"Valleyfield, Part 1",RM,1,Incorporation from part,1101008,Lot 61,LOT,6,Area lost due to incorporation,77,01/01/2018,110030
1101010,"Valleyfield, Part 1",RM,1,Incorporation from part,1101009,Lot 59,LOT,6,Area lost due to incorporation,438,01/01/2018,110030
1101010,"Valleyfield, Part 1",RM,1,Incorporation from part,1101011,Lot 66,LOT,6,Area lost due to incorporation,57,01/01/2018,110030
1101010,"Valleyfield, Part 1",RM,1,Incorporation from part,1101014,Lot 51,LOT,6,Area lost due to incorporation,20,01/01/2018,110030
1102007,"Valleyfield, Part 2",RM,1,Incorporation from part,1102006,Lot 58,LOT,6,Area lost due to incorporation,0,01/01/2018,110032
1102007,"Valleyfield, Part 2",RM,1,Incorporation from part,1102008,Lot 57,LOT,6,Area lost due to incorporation,92,01/01/2018,110032
1102007,"Valleyfield, Part 2",RM,1,Incorporation from part,1102009,Lot 50,LOT,6,Area lost due to incorporation,0,01/01/2018,110032
1102016,Vernon River,FD,2,Name change,...,"Vernon River, Part 1",FD,...,...,...,01/01/2018,110137
1102016,"Vernon River, Part 1",FD,1,Incorporation from amalgamation and partial annexation,1102012,Lot 49,LOT,4,Dissolution,667,01/01/2018,110101
1102016,"Vernon River, Part 1",FD,1,Incorporation from amalgamation and partial annexation,1102014,Lot 48,LOT,4,Dissolution,285,01/01/2018,110101
1102016,"Vernon River, Part 1",FD,1,Incorporation from amalgamation and partial annexation,1102008,Lot 57,LOT,6,Area lost due to incorporation,239,01/01/2018,110101
1102016,"Vernon River, Part 1",FD,1,Incorporation from amalgamation and partial annexation,1102058,Lot 37,LOT,4,Dissolution,20,01/01/2018,110101
1102016,"Vernon River, Part 1",FD,1,Incorporation from amalgamation and partial annexation,1102056,Lot 36,LOT,4,Dissolution,5,01/01/2018,110101
1102016,"Vernon River, Part 1",FD,1,Incorporation from amalgamation and partial annexation,1102009,Lot 50,LOT,4,Dissolution,942,01/01/2018,110101
1102016,"Vernon River, Part 1",FD,5A,Area gained due to complete annexation,1101012,"Vernon River, Part 2",FD,4,Dissolution,98,01/01/2018,110134
1101012,"Vernon River, Part 2",FD,1,Incorporation from amalgamation and partial annexation,1101051,Lot 38,LOT,4,Dissolution,5,01/01/2018,110102
1101012,"Vernon River, Part 2",FD,1,Incorporation from amalgamation and partial annexation,1101014,Lot 51,LOT,6,Area lost due to incorporation,0,01/01/2018,110102
1101012,"Vernon River, Part 2",FD,1,Incorporation from amalgamation and partial annexation,1101011,Lot 66,LOT,6,Area lost due to incorporation,93,01/01/2018,110102
1102032,Victoria,RM,3,Type change,...,Victoria,COM,...,...,...,23/12/2017,110068
1103068,Victoria,FD,1,Incorporation from amalgamation,1102031,Lot 29,LOT,4,Dissolution,10,01/01/2018,110115
1103068,Victoria,FD,1,Incorporation from amalgamation,1103001,Lot 28,LOT,4,Dissolution,73,01/01/2018,110115
1102070,Warren Grove,RM,3,Type change,...,Warren Grove,COM,...,...,...,23/12/2017,110069
1103029,Wellington,RM,3,Type change,...,Wellington,COM,...,...,...,23/12/2017,110010
1103020,Wellington,FD,1,Incorporation from amalgamation and partial annexation,1103031,Lot 14,LOT,4,Dissolution,538,01/01/2018,110079
1103020,Wellington,FD,1,Incorporation from amalgamation and partial annexation,1103028,Lot 16,LOT,6,Area lost due to incorporation,266,01/01/2018,110079
1103020,Wellington,FD,1,Incorporation from amalgamation and partial annexation,1103026,Lot 15,LOT,4,Dissolution,1098,01/01/2018,110079
1103029,Wellington,RM,5,Area gained due to partial annexation,1103020,Wellington,FD,6,Area lost due to partial annexation,0,22/02/2020,110129
1103066,West Point,FD,1,Incorporation from part,1103046,Lot  8,LOT,6,Area lost due to incorporation,10,01/01/2018,110077
1103066,West Point,FD,5A,Area gained due to complete annexation,1103046,Lot  8,LOT,4,Dissolution,221,01/01/2018,110114
1102025,West River,RM,1,Incorporation from part,1102028,Lot 65,LOT,6,Area lost due to incorporation,711,01/01/2018,110016
1102025,West River,RM,1,Incorporation from part,1102029,Lot 30,LOT,6,Area lost due to incorporation,84,01/01/2018,110016
1102068,West River,RM,1,Incorporation from amalgamation,1102024,Bonshaw,RM,4,Dissolution,175,01/09/2020,110131
1102068,West River,RM,1,Incorporation from amalgamation,1102027,Afton,RM,4,Dissolution,1242,01/09/2020,110131
1102068,West River,RM,1,Incorporation from amalgamation,1102033,Meadowbank,RM,4,Dissolution,355,01/09/2020,110131
1102068,West River,RM,1,Incorporation from amalgamation,1102023,New Haven-Riverdale,RM,4,Dissolution,543,01/09/2020,110131
1102068,West River,RM,1,Incorporation from amalgamation,1102025,West River,RM,4,Dissolution,795,01/09/2020,110131
1102069,Winsloe North,FD,1,Incorporation from part,1102049,Lot 33,LOT,6,Area lost due to incorporation,266,01/01/2018,110110
1102061,York,RM,1,Incorporation from part,1102052,Lot 34,LOT,6,Area lost due to incorporation,414,01/01/2018,110026
Nova Scotia,,,,,,,,,,,,
1207002,Annapolis Valley First Nation,IRI,2,Name change,...,Cambridge 32,IRI,...,...,...,30/09/2016,120009
1206009,Chester,MD,8C,Area gained due to boundary correction,1206001,Lunenburg,MD,9C,Area lost due to boundary correction,...,02/01/2016,120003
1210001,"Colchester, Subd. C",SC,8C,Area gained due to boundary correction,1210006,Truro,T,9C,Area lost due to boundary correction,...,02/01/2016,120006
1211001,"Cumberland, Subd. A",SC,5A,Area gained due to complete annexation,1211002,Parrsboro,T,4,Dissolution,1205,01/11/2016,120002
1209034,Halifax,RGM,5A,Area gained due to complete annexation,1209029,Shubenacadie 13,IRI,4,Dissolution,0,27/05/2020,120010
1215005,Malagawatch 4,IRI,1,Incorporation from part,1215001,"Inverness, Subd. C",SC,6,Area lost due to incorporation,20,02/08/1833,120007
1204001,Medway River 11,IRI,1,Incorporation from part,1204010,Queens,RGM,6,Area lost due to incorporation,5,13/04/1852,120008
1214010,Paqtnkek-Niktuek No. 23,IRI,2,Name change,...,Pomquet And Afton 23,IRI,...,...,...,03/05/2012,120001
1216011,"Richmond, Subd. B",SC,8,Area and population gained due to correction,1217030,Cape Breton,RGM,9,Area and population lost due to correction,0,02/01/2016,120004
1210006,Truro,T,8C,Area gained due to boundary correction,1210001,"Colchester, Subd. C",SC,9C,Area lost due to boundary correction,...,02/01/2016,120005
1208003,West Hants,RM,1,Incorporation from amalgamation,1208001,West Hants,MD,4,Dissolution,15368,06/10/2020,120011
1208003,West Hants,RM,1,Incorporation from amalgamation,1208002,Windsor,T,4,Dissolution,3648,06/10/2020,120011
New Brunswick,,,,,,,,,,,,
1315015,Beresford,TV,5,Area gained due to partial annexation,1315011,Bathurst,C,6,Area lost due to partial annexation,0,01/01/2016,130009
1309033,Big Hole Tract 8 (North Half),IRI,1,Incorporation from part,1309034,Big Hole Tract 8 (South Half),IRI,6,Area lost due to incorporation,25,13/04/1844,130027
1314004,Charlo,VL,5,Area gained due to partial annexation,1314011,Eel River Crossing,VL,6,Area lost due to partial annexation,0,01/01/2017,130003
1308002,Cocagne,RCR,5,Area gained due to partial annexation,1308004,Wellington,P,6,Area lost due to partial annexation,0,01/06/2018,130013
1308002,Cocagne,RCR,5,Area gained due to partial annexation,1308001,Dundas,P,6,Area lost due to partial annexation,0,01/06/2018,130013
1307045,Dieppe,C,5,Area gained due to partial annexation,1307016,Shediac,P,6,Area lost due to partial annexation,0,01/06/2016,130008
1307045,Dieppe,C,5,Area gained due to partial annexation,1307019,Moncton,P,6,Area lost due to partial annexation,0,01/06/2016,130008
1312021,Drummond,P,8C,Area gained due to boundary correction,1314021,Saint-Quentin,P,9C,Area lost due to boundary correction,...,02/01/2016,130006
1313027,Edmundston,C,5,Area gained due to partial annexation,1313020,St. Basile 10,IRI,6,Area lost due to partial annexation,0,01/01/2019,130018
1314016,Eldon,P,8,Area and population gained due to correction,1314020,Kedgwick,RCR,9,Area and population lost due to correction,15,02/01/2016,130005
1310032,Fredericton,C,8,Area and population gained due to correction,1310017,Hanwell,RCR,9,Area and population lost due to correction,50,02/01/2016,130007
1310032,Fredericton,C,5,Area gained due to partial annexation,1310028,Douglas,P,6,Area lost due to partial annexation,451,01/08/2018,130016
1310017,Hanwell,RCR,5,Area gained due to partial annexation,1310018,Kingsclear,P,6,Area lost due to partial annexation,0,31/07/2018,130017
1310017,Hanwell,RCR,5,Area gained due to partial annexation,1310032,Fredericton,C,6,Area lost due to partial annexation,0,31/07/2018,130017
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313038,Clair,P,4,Dissolution,283,01/07/2017,130004
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313041,Saint-François,P,4,Dissolution,606,01/07/2017,130004
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313032,Saint-Hilaire,P,4,Dissolution,478,01/07/2017,130004
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313036,Lac-Baker,P,4,Dissolution,5,01/07/2017,130004
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313035,Baker-Brook,VL,4,Dissolution,564,01/07/2017,130004
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313039,Clair,VL,4,Dissolution,781,01/07/2017,130004
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313034,Baker Brook,P,4,Dissolution,275,01/07/2017,130004
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313033,St. Hilaire,VL,4,Dissolution,252,01/07/2017,130004
1313031,Haut-Madawaska,RCR,1,Incorporation from amalgamation,1313042,Saint-François de Madawaska,VL,4,Dissolution,470,01/07/2017,130004
1308020,Indian Island 28,IRI,8,Area and population gained due to correction,1308016,Richibucto,P,9,Area and population lost due to correction,15,02/01/2016,130023
1310013,Meductic,VL,10,Population gained due to correction,1311004,Woodstock,P,11,Population lost due to correction,42,02/01/2016,130011
1303013,Oromocto 26,IRI,8C,Area gained due to boundary correction,1303012,Oromocto,TV,9C,Area lost due to boundary correction,...,02/01/2016,130024
1303013,Oromocto 26,IRI,8C,Area gained due to boundary correction,1303011,Burton,P,9C,Area lost due to boundary correction,...,02/01/2016,130024
1309010,Renous 12,IRI,1,Incorporation from part,1309014,Nelson,P,6,Area lost due to incorporation,5,29/06/1896,130022
1308015,Richibucto 15,IRI,8,Area and population gained due to correction,1308014,Weldford,P,9,Area and population lost due to correction,5,02/01/2016,130026
1313002,Saint-André,RCR,5A,Area gained due to complete annexation,1313001,Saint-André,P,4,Dissolution,1129,31/07/2006,130021
1313006,Saint-Léonard,TV,5,Area gained due to partial annexation,1313004,Saint-Léonard,P,6,Area lost due to partial annexation,0,01/06/2018,130012
1313006,Saint-Léonard,TV,5,Area gained due to partial annexation,1313004,Saint-Léonard,P,6,Area lost due to partial annexation,0,05/06/2020,130025
1307052,Shediac,TV,5,Area gained due to partial annexation,1307016,Shediac,P,6,Area lost due to partial annexation,0,01/06/2016,130001
1302037,St. Stephen,TV,5,Area gained due to partial annexation,1302034,Saint Stephen,P,6,Area lost due to partial annexation,0,01/09/2018,130014
1305031,Studholm,P,8C,Area gained due to boundary correction,1305021,Sussex,P,9C,Area lost due to boundary correction,...,02/01/2016,130019
1305021,Sussex,P,8C,Area gained due to boundary correction,1305031,Studholm,P,9C,Area lost due to boundary correction,...,02/01/2016,130020
1315002,Tracadie,MRM,3,Type change,...,Tracadie,RGM,...,...,...,02/01/2016,130010
1311006,Woodstock,TV,5,Area gained due to partial annexation,1311004,Woodstock,P,6,Area lost due to partial annexation,0,01/10/2018,130015
Quebec,,,,,,,,,,,,
2440043,Asbestos,V,5,Area gained due to partial annexation,2440047,Danville,V,6,Area lost due to partial annexation,0,07/03/2020,240110
2445035,Ayer's Cliff,VL,10,Population gained due to correction,2445043,Hatley,MÉ,11,Population lost due to correction,11,02/01/2016,240039
2499904,Baie-d'Hudson,NO,8C,Area gained due to boundary correction,2499075,Kuujjuarapik,VN,9C,Area lost due to boundary correction,...,02/01/2016,240087
2427028,Beauceville,V,8,Area and population gained due to correction,2427015,Saint-Alfred,MÉ,9,Area and population lost due to correction,10,02/01/2016,240030
2448005,Béthanie,MÉ,8C,Area gained due to boundary correction,2442060,Valcourt,CT,9C,Area lost due to boundary correction,...,02/01/2016,240090
2434030,Cap-Santé,V,5,Area gained due to partial annexation,2434038,Saint-Basile,V,6,Area lost due to partial annexation,10,26/01/2019,240080
2484090,Chichester,CT,10,Population gained due to correction,2484095,Sheenboro,MÉ,11,Population lost due to correction,11,02/01/2016,240044
2444037,Coaticook,V,10,Population gained due to correction,2444045,Barnston-Ouest,MÉ,11,Population lost due to correction,257,02/01/2016,240040
2462802,Communauté Atikamekw de Manawan,IRI,2,Name change,...,Manawan,IRI,...,...,...,06/07/1990,240095
2490802,Communauté de Wemotaci,IRI,2,Name change,...,Wemotaci,IRI,...,...,...,12/12/1995,240097
2498015,Côte-Nord-du-Golfe-du-Saint-Laurent,MÉ,8C,Area gained due to boundary correction,2498804,Romaine 2,IRI,9C,Area lost due to boundary correction,...,02/01/2016,240102
2440047,Danville,V,5,Area gained due to partial annexation,2440043,Asbestos,V,6,Area lost due to partial annexation,0,07/03/2020,240111
2439156,Daveluyville,V,1,Incorporation from amalgamation,2439150,Sainte-Anne-du-Sault,MÉ,4,Dissolution,1290,09/03/2016,240032
2439156,Daveluyville,V,1,Incorporation from amalgamation,2439155,Daveluyville,V,4,Dissolution,965,09/03/2016,240032
2439156,Daveluyville,V,7C,Correction of SGC code,...,...,...,...,...,...,09/03/2016,240122
2439152,Daveluyville,V,7C,Correction of SGC code,2439156,...,...,...,...,...,09/03/2016,240122
2449058,Drummondville,V,8C,Area gained due to boundary correction,2449070,Saint-Cyrille-de-Wendover,MÉ,9C,Area lost due to boundary correction,...,02/01/2016,240085
2441060,East Angus,V,5,Area gained due to partial annexation,2441065,Westbury,CT,6,Area lost due to partial annexation,0,08/02/2020,240109
2499060,Eeyou Istchee Baie-James,GR,3,Type change,...,Eeyou Istchee Baie-James,MÉ,...,...,...,01/01/2014,240108
2499060,Eeyou Istchee Baie-James,GR,8C,Area gained due to boundary correction,2499802,Waswanipi,TC,9C,Area lost due to boundary correction,...,02/01/2016,240123
2422010,Fossambault-sur-le-Lac,V,5,Area gained due to partial annexation,2422020,Shannon,MÉ,6,Area lost due to partial annexation,0,03/09/2016,240009
2406802,Gesgapegiag,IRI,8C,Area gained due to boundary correction,2406005,Maria,MÉ,9C,Area lost due to boundary correction,...,02/01/2016,240074
2409060,Grand-Métis,MÉ,10,Population gained due to correction,2409048,Métis-sur-Mer,V,11,Population lost due to correction,15,02/01/2016,240043
2408015,Grosses-Roches,MÉ,10,Population gained due to correction,2408023,Sainte-Félicité,MÉ,11,Population lost due to correction,88,02/01/2016,240049
2439010,Ham-Nord,CT,5,Area gained due to partial annexation,2439015,Notre-Dame-de-Ham,MÉ,6,Area lost due to partial annexation,0,01/09/2018,240119
2468010,Hemmingford,VL,5,Area gained due to partial annexation,2468015,Hemmingford,CT,6,Area lost due to partial annexation,0,05/11/2016,240014
2493020,Hébertville,MÉ,10,Population gained due to correction,2493908,Belle-Rivière,NO,11,Population lost due to correction,51,02/01/2016,240038
2435035,Hérouxville,PE,5,Area gained due to partial annexation,2435040,Grandes-Piles,VL,6,Area lost due to partial annexation,0,23/07/2016,240005
2499895,Ivujivik,TI,7C,Correction of SGC code,...,...,...,...,...,...,02/01/2016,240094
2499885,Ivujivik,TI,7C,Correction of SGC code,2499895,...,...,...,...,...,02/01/2016,240094
2485802,Kebaowek,IRI,8,Area and population gained due to correction,2485010,Kipawa,MÉ,9,Area and population lost due to correction,17,02/01/2016,240100
2483802,Kitigan Zibi,IRI,8,Area and population gained due to correction,2483065,Maniwaki,V,9,Area and population lost due to correction,10,02/01/2016,240072
2483802,Kitigan Zibi,IRI,8C,Area gained due to boundary correction,2483902,Lac-Pythonga,NO,9C,Area lost due to boundary correction,...,02/01/2016,240079
2499075,Kuujjuarapik,VN,8C,Area gained due to boundary correction,2499904,Baie-d'Hudson,NO,9C,Area lost due to boundary correction,...,02/01/2016,240088
2460036,L'Épiphanie,V,1,Incorporation from amalgamation,2460040,L'Épiphanie,PE,4,Dissolution,3200,23/05/2018,240070
2460036,L'Épiphanie,V,1,Incorporation from amalgamation,2460035,L'Épiphanie,V,4,Dissolution,5493,23/05/2018,240070
2460036,L'Épiphanie,V,7C,Correction of SGC code,...,...,...,...,...,...,23/05/2018,240120
2460037,L'Épiphanie,V,7C,Correction of SGC code,2460036,...,...,...,...,...,23/05/2018,240120
2477055,Lac-des-Seize-Îles,MÉ,8,Area and population gained due to correction,2477060,Wentworth-Nord,MÉ,9,Area and population lost due to correction,20,02/01/2016,240031
2488080,Launay,CT,8C,Area gained due to boundary correction,2487042,Taschereau,MÉ,9C,Area lost due to boundary correction,...,02/01/2016,240028
2485081,Laverlochère-Angliers,MÉ,1,Incorporation from amalgamation,2485050,Laverlochère,MÉ,4,Dissolution,675,27/12/2017,240076
2485081,Laverlochère-Angliers,MÉ,1,Incorporation from amalgamation,2485080,Angliers,VL,4,Dissolution,303,27/12/2017,240076
2485081,Laverlochère-Angliers,MÉ,7C,Correction of SGC code,...,...,...,...,...,...,27/12/2017,240121
2485052,Laverlochère-Angliers,MÉ,7C,Correction of SGC code,2485081,...,...,...,...,...,27/12/2017,240121
2458227,Longueuil,V,8,Area and population gained due to correction,2458037,Saint-Bruno-de-Montarville,V,9,Area and population lost due to correction,197,02/01/2016,240075
2425213,Lévis,V,8C,Area gained due to boundary correction,2433035,Saint-Gilles,MÉ,9C,Area lost due to boundary correction,...,30/11/2019,240093
2452095,Mandeville,MÉ,8C,Area gained due to boundary correction,2452085,Saint-Gabriel-de-Brandon,MÉ,9C,Area lost due to boundary correction,...,02/01/2016,240061
2452095,Mandeville,MÉ,8C,Area gained due to boundary correction,2452080,Saint-Gabriel,V,9C,Area lost due to boundary correction,...,02/01/2016,240061
2484065,Mansfield-et-Pontefract,MÉ,5,Area gained due to partial annexation,2484060,Fort-Coulonge,VL,6,Area lost due to partial annexation,0,15/12/2018,240078
2497808,Matimekosh,IRI,8,Area and population gained due to correction,2497040,Schefferville,V,9,Area and population lost due to correction,25,02/01/2016,240104
2480010,Montebello,MÉ,5,Area gained due to partial annexation,2480015,Notre-Dame-de-Bonsecours,MÉ,6,Area lost due to partial annexation,0,20/05/2017,240021
2498025,Natashquan,MÉ,3,Type change,...,Natashquan,CT,...,...,...,18/06/2016,240003
2498025,Natashquan,MÉ,5,Area gained due to partial annexation,2498904,Lac-Jérôme,NO,6,Area lost due to partial annexation,0,10/12/2016,240016
2498806,Natashquan,IRI,8C,Area gained due to boundary correction,2498025,Natashquan,MÉ,9C,Area lost due to boundary correction,...,02/01/2016,240103
2498806,Nutashkuan,IRI,2,Name change,...,Natashquan,IRI,...,...,...,13/02/2017,240118
2490804,Obedjiwan 28,IRI,2,Name change,...,Obedjiwan,IRI,...,...,...,08/09/1963,240098
2450802,Odanak,IRI,8C,Area gained due to boundary correction,2450113,Pierreville,MÉ,9C,Area lost due to boundary correction,...,02/01/2016,240071
2450802,Odanak,IRI,8,Area and population gained due to correction,2450113,Pierreville,MÉ,9,Area and population lost due to correction,0,02/01/2016,240084
2499818,Oujé-Bougoumou,TC,3,Type change,...,Oujé-Bougoumou,S-É,...,...,...,02/01/2016,240073
2499818,Oujé-Bougoumou,TC,8,Area and population gained due to correction,2499060,Eeyou Istchee Baie-James,MÉ,9,Area and population lost due to correction,10,02/01/2016,240091
2413015,Packington,PE,10,Population gained due to correction,2413010,Saint-Jean-de-la-Lande,MÉ,11,Population lost due to correction,42,02/01/2016,240059
2492902,Passes-Dangereuses,NO,10,Population gained due to correction,2492022,Dolbeau-Mistassini,V,11,Population lost due to correction,38,02/01/2016,240048
2432040,Plessisville,V,5,Area gained due to partial annexation,2432045,Plessisville,PE,6,Area lost due to partial annexation,0,30/07/2016,240006
2423027,Québec,V,8C,Area gained due to boundary correction,2423802,Wendake,IRI,9C,Area lost due to boundary correction,...,02/01/2016,240083
2442098,Richmond,V,5,Area gained due to partial annexation,2442110,Cleveland,CT,6,Area lost due to partial annexation,0,19/11/2016,240015
2410043,Rimouski,V,10,Population gained due to correction,2410060,Saint-Valérien,PE,11,Population lost due to correction,5,02/01/2016,240069
2408902,Rivière-Bonjour,NO,8C,Area gained due to boundary correction,2407908,Lac-Casault,NO,9C,Area lost due to boundary correction,...,02/01/2016,240019
